"symbol","class","timeframe","strategy","family","params","trades","pf","winrate","maxdd","payoff","netprofit","status"
"USDCHF","FOREX","M5","EMA_CROSS","TREND","fast=9;slow=144","60","1,2074","23,33","0,1292","3,9671","647","BACKTESTED"
"USDCHF","FOREX","M5","SMA_CROSS","TREND","fast=9;slow=144","60","1,2074","23,33","0,1292","3,9671","647","BACKTESTED"
"EURUSD","FOREX","H4","EMA_CROSS","TREND","fast=9;slow=144","64","1,2073","3,75","698","2,0121","5773","BACKTESTED"
"EURUSD","FOREX","H4","SMA_CROSS","TREND","fast=9;slow=144","64","1,2073","3,75","698","2,0121","5773","BACKTESTED"
"USDJPY","FOREX","D1","EMA_CROSS","TREND","fast=5;slow=55","185","1,2054","25,95","2,8474","3,4153","35284","BACKTESTED"
"USDJPY","FOREX","D1","SMA_CROSS","TREND","fast=5;slow=55","185","1,2054","25,95","2,8474","3,4153","35284","BACKTESTED"
"USDJPY","FOREX","D1","SMA_CROSS","TREND","fast=8;slow=144","62","1,2027","27,42","2,3356","3,1836","19631","BACKTESTED"
"USDJPY","FOREX","D1","EMA_CROSS","TREND","fast=8;slow=144","62","1,2027","27,42","2,3356","3,1836","19631","BACKTESTED"
"EURUSD","FOREX","D1","EMA_CROSS","TREND","fast=13;slow=55","106","1,2015","34,91","2,2626","2,2407","29914","BACKTESTED"
"EURUSD","FOREX","D1","SMA_CROSS","TREND","fast=13;slow=55","106","1,2015","34,91","2,2626","2,2407","29914","BACKTESTED"
"USDCHF","FOREX","M15","EMA_CROSS","TREND","fast=8;slow=55","120","1,1978","34,17","146","0,2308","1359","BACKTESTED"
"USDCHF","FOREX","M15","SMA_CROSS","TREND","fast=8;slow=55","120","1,1978","34,17","146","0,2308","1359","BACKTESTED"
"EURUSD","FOREX","H1","EMA_CROSS","TREND","fast=8;slow=34","168","1,1956","3,69","0,4465","2,0248","4444","BACKTESTED"
"EURUSD","FOREX","H1","SMA_CROSS","TREND","fast=8;slow=34","168","1,1956","3,69","0,4465","2,0248","4444","BACKTESTED"
"USDJPY","FOREX","D1","SMA_CROSS","TREND","fast=13;slow=144","56","1,1952","35,71","3,0198","2,1513","18651","BACKTESTED"
"USDJPY","FOREX","D1","EMA_CROSS","TREND","fast=13;slow=144","56","1,1952","35,71","3,0198","2,1513","18651","BACKTESTED"
"USDCHF","FOREX","M15","EMA_CROSS","TREND","fast=5;slow=144","89","1,1923","28,09","0,1138","3,0524","1051","BACKTESTED"
"USDCHF","FOREX","M15","SMA_CROSS","TREND","fast=5;slow=144","89","1,1923","28,09","0,1138","3,0524","1051","BACKTESTED"
"USDJPY","FOREX","H1","SMA_CROSS","TREND","fast=8;slow=89","98","1,1904","35,71","1,5148","2,1428","5338","BACKTESTED"
"USDJPY","FOREX","H1","EMA_CROSS","TREND","fast=8;slow=89","98","1,1904","35,71","1,5148","2,1428","5338","BACKTESTED"
"EURUSD","FOREX","D1","SMA_CROSS","TREND","fast=9;slow=55","128","1,1793","28,12","3,1037","3,0137","28178","BACKTESTED"
"USDCHF","FOREX","M5","EMA_CROSS","TREND","fast=13;slow=144","50","1,1793","30","0,1101","2,7517","552","BACKTESTED"
"USDCHF","FOREX","M5","SMA_CROSS","TREND","fast=13;slow=144","50","1,1793","30","0,1101","2,7517","552","BACKTESTED"
"EURUSD","FOREX","D1","EMA_CROSS","TREND","fast=9;slow=55","128","1,1793","28,12","3,1037","3,0137","28178","BACKTESTED"
"USDJPY","FOREX","H1","SMA_CROSS","TREND","fast=9;slow=21","274","1,1791","38,32","0,3552","1,8978","9239","BACKTESTED"
"USDJPY","FOREX","H1","EMA_CROSS","TREND","fast=9;slow=21","274","1,1791","38,32","0,3552","1,8978","9239","BACKTESTED"
