symbol,timeframe,strategy,params,trades,pf,winrate,payoff,netprofit,tier,dataset,mode,real_orders
EURUSD,M2,SMA_SCALP,"5,13",907,0.9891,34.73,1.7929,-0.00153,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_EURUSD_M2_raw.csv,PAPER_ONLY,FORBIDDEN
US100,M2,EMA_SCALP,"9,21",469,0.9885,26.23,2.7805,-130.6,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_US100_M2_raw.csv,PAPER_ONLY,FORBIDDEN
XAUUSD,M2,SMA_SCALP,"13,34",340,0.9873,37.06,1.669,-20.48,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_XAUUSD_M2_raw.csv,PAPER_ONLY,FORBIDDEN
USDCHF,M2,SMA_SCALP,"13,34",340,0.9827,35.0,1.7837,-0.00132,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDCHF_M2_raw.csv,PAPER_ONLY,FORBIDDEN
US100,M2,EMA_SCALP,"8,21",489,0.9808,26.58,2.7084,-218.6,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_US100_M2_raw.csv,PAPER_ONLY,FORBIDDEN
GBPUSD,M2,SMA_SCALP,"13,34",343,0.9802,31.78,2.0772,-0.00227,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_GBPUSD_M2_raw.csv,PAPER_ONLY,FORBIDDEN
GBPUSD,M5,EMA_SCALP,"9,21",454,0.9778,26.43,2.7054,-0.00436,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_GBPUSD_M5_raw.csv,PAPER_ONLY,FORBIDDEN
NZDUSD,M2,EMA_SCALP,"8,21",457,0.9768,28.67,2.4233,-0.00201,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_NZDUSD_M2_raw.csv,PAPER_ONLY,FORBIDDEN
XAUUSD,M5,SMA_SCALP,"8,21",528,0.9738,33.71,1.9147,-79.78,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_XAUUSD_M5_raw.csv,PAPER_ONLY,FORBIDDEN
US500,M5,EMA_SCALP,"5,13",758,0.9699,28.36,2.4315,-89.2,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_US500_M5_raw.csv,PAPER_ONLY,FORBIDDEN
